Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-10-23,EU Statement -- Consultations of the Informal Ad-hoc Working Group on UN80 – Mandate Creation,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-consultations-informal-ad-hoc-working-group-un80-%E2%80%93-mandate-creation_en,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,False
2025-10-23,EU Statement -- UN General Assembly 1st Committee:  Statement on Conventional Weapons,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-un-general-assembly-1st-committee-statement-conventional-weapons_en,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2025-10-17,"EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on the human right to a clean, healthy and sustainable environment and human rights in the context of climate change",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-right-clean-healthy-and-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-17,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on adequate housing,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-adequate-housing-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-18,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on unilateral coercive measures,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-unilateral-coercive-measures_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 4th Committee: Revitalization of the work of the GA (working methods),https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-4th-committee-revitalization-work-ga-working-methods_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on freedom of expression and opinion,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-freedom-expression-and-opinion_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on extreme poverty and human rights,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-extreme-poverty-and-human_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on persons affected by leprosy,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-persons-affected-leprosy_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on the right to health,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-right-health_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,"EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on extrajudicial, summary or arbitrary executions",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-extrajudicial-summary-or-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 3rd Committee : Interactive dialogue on the independence of judges and lawyers,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-independence-judges-and-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-22,EU Statement – UN General Assembly 4th Committee: Effects of Atomic Radiation,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-4th-committee-effects-atomic-radiation-1_en,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False
2025-10-16,"EU Statement -- UN General Assembly 3rd Committee: Interactive Dialogue with the Director of the Sustainable Development Unit, Executive Office of the UN Secretary-General",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-un-general-assembly-3rd-committee-interactive-dialogue-director-sustainable-development_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-17,EU Statement – UN General Assembly 1st Committee: Nuclear Weapons,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-nuclear-weapons-1_en,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,True,False
2025-10-16,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue with the High Commissioner for Human Rights,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-high-commissioner-human-rights-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-16,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on the rights of peasants and other people working in rural areas,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-rights-peasants-and-other-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
